tem,gr,phir,phi2
3.700000000000000000e+01,5.799999999999999600e-01,2.621446260171556020e-01,5.249167104926272254e-02
4.200000000000000000e+01,6.600000000000000311e-01,2.557433773135863730e-01,8.117295955830945708e-02
