tem,phi1t
1.000000000000000000e+01,5.139265404285309202e-02
1.040404040404041552e+01,5.374171700789084904e-02
1.080808080808083105e+01,5.620130527075849203e-02
1.121212121212118973e+01,5.873353540234456382e-02
1.161616161616160525e+01,6.130156820089132513e-02
1.202020202020202078e+01,6.387226670215100099e-02
1.242424242424243630e+01,6.641777410407206927e-02
1.282828282828285182e+01,6.891611664022982697e-02
1.323232323232321050e+01,7.135107888213834682e-02
1.363636363636362603e+01,7.371162441771385299e-02
1.404040404040404155e+01,7.599109318770154442e-02
1.444444444444445708e+01,7.818634134312145434e-02
1.484848484848487260e+01,8.029692657651812948e-02
1.525252525252523128e+01,8.232439265683978713e-02
1.565656565656564680e+01,8.427167324934362047e-02
1.606060606060606233e+01,8.614261463441308386e-02
1.646464646464647785e+01,8.794160606412677883e-02
1.686868686868689338e+01,8.967330190090960773e-02
1.727272727272725206e+01,9.134241883022166386e-02
1.767676767676766758e+01,9.295359258499498456e-02
1.808080808080808310e+01,9.451128066046676768e-02
1.848484848484849863e+01,9.601969978849961285e-02
1.888888888888891415e+01,9.748278913478559959e-02
1.929292929292927283e+01,9.890419212043853603e-02
1.969696969696968836e+01,1.002872513983552039e-01
2.010101010101010388e+01,1.016350128382144391e-01
2.050505050505051940e+01,1.029502354236697670e-01
2.090909090909087809e+01,1.042354047821884289e-01
2.131313131313129361e+01,1.047473018718413362e-01
2.171717171717170913e+01,1.050126152738911772e-01
2.212121212121212466e+01,1.052496972477576925e-01
2.252525252525254018e+01,1.054607989080642155e-01
2.292929292929295571e+01,1.056479055081407104e-01
2.333333333333331439e+01,1.058127608806404274e-01
2.373737373737372991e+01,1.059568893498106235e-01
2.414141414141414543e+01,1.060816151990835871e-01
2.454545454545456096e+01,1.061880798129756776e-01
2.494949494949491964e+01,1.062772566299329258e-01
2.535353535353533516e+01,1.063499640480367048e-01
2.575757575757575069e+01,1.064068764226023117e-01
2.616161616161616621e+01,1.064485332863063238e-01
2.656565656565658173e+01,1.064753469107436179e-01
2.696969696969699726e+01,1.064876083145773755e-01
2.737373737373735594e+01,1.064854918087746460e-01
2.777777777777777146e+01,1.064690581544797676e-01
2.818181818181818699e+01,1.064382563943305632e-01
2.858585858585860251e+01,1.063929244039344274e-01
2.898989898989896119e+01,1.063327881969115540e-01
2.939393939393937671e+01,1.062574600048706991e-01
2.979797979797979224e+01,1.061664351429350561e-01
3.020202020202020776e+01,1.060590876625541606e-01
3.060606060606062329e+01,1.059346647866464958e-01
3.101010101010103881e+01,1.057922801182146072e-01
3.141414141414139749e+01,1.056309056133311053e-01
3.181818181818181301e+01,1.054493623137506414e-01
3.222222222222222854e+01,1.052463098449273882e-01
3.262626262626264406e+01,1.050202347035635725e-01
3.303030303030300274e+01,1.047694373875772966e-01
3.343434343434341827e+01,1.044920184634173105e-01
3.383838383838383379e+01,1.041858637252039144e-01
3.424242424242424931e+01,1.038486286818705862e-01
3.464646464646466484e+01,1.034777227189816462e-01
3.505050505050508036e+01,1.030702934285674804e-01
3.545454545454543904e+01,1.026232117928449761e-01
3.585858585858585457e+01,1.021330591574295954e-01
3.626262626262627009e+01,1.015961172494065784e-01
3.666666666666668561e+01,1.010083629010327111e-01
3.707070707070704429e+01,1.003654696459530676e-01
3.747474747474745982e+01,9.966281897805243095e-02
3.787878787878787534e+01,9.889552481543102680e-02
3.828282828282829087e+01,9.805847559892363896e-02
3.868686868686870639e+01,9.714639946680576899e-02
3.909090909090912191e+01,9.615395904903629998e-02
3.949494949494948060e+01,9.507588353750516530e-02
3.989898989898989612e+01,9.390714666844170166e-02
4.030303030303031164e+01,9.264319985357342968e-02
4.070707070707072717e+01,9.128026953400229793e-02
4.111111111111108585e+01,8.981572633329673594e-02
4.151515151515150137e+01,8.824852996239924974e-02
4.191919191919191690e+01,8.657974706153130640e-02
4.232323232323233242e+01,8.481312809319689616e-02
4.272727272727274794e+01,8.295571296454014310e-02
4.313131313131310662e+01,8.101841280545669932e-02
4.353535353535352215e+01,7.901648829045382350e-02
4.393939393939393767e+01,7.696981681553601018e-02
4.434343434343435320e+01,7.490281949373765735e-02
4.474747474747476872e+01,7.284391664739797712e-02
4.515151515151512740e+01,7.082441246413609393e-02
4.555555555555554292e+01,6.887678824000541267e-02
4.595959595959595845e+01,6.703250912893851665e-02
4.636363636363637397e+01,6.531959849600714463e-02
4.676767676767678950e+01,6.376035801964680116e-02
4.717171717171714818e+01,6.236965048878521933e-02
4.757575757575756370e+01,6.115407609773865216e-02
4.797979797979797922e+01,6.011217430372039344e-02
4.838383838383839475e+01,5.923554108253923506e-02
4.878787878787881027e+01,5.851055800101528231e-02
4.919191919191916895e+01,5.792034956051268779e-02
4.959595959595958448e+01,5.744662506758796416e-02
5.000000000000000000e+01,5.707117746990540003e-02
