tag,phi2,phic,gr
D1,0.038461726179000004,0.014421372609,0.22
D2,0.038062594023999995,0.015140303774,0.36
D3,0.03790541608700001,0.016563375116999998,0.54
D4,0.03833067719299999,0.017071986972999997,0.67
D5,0.038987154152,0.017428165092,0.91
F2,0.039950139495999994,0.017371799496000005,0.89
F3,0.039149774,0.017233116729999998,0.84
