tem,phirt
1.000000000000000000e+01,3.813803157150284506e-01
1.040404040404041552e+01,3.874516183186194618e-01
1.080808080808083105e+01,3.942157145146793495e-01
1.121212121212118973e+01,4.015404893382701901e-01
1.161616161616160525e+01,4.092626548588360058e-01
1.202020202020202078e+01,4.172061898952902914e-01
1.242424242424243630e+01,4.251998956560972265e-01
1.282828282828285182e+01,4.330908992439841954e-01
1.323232323232321050e+01,4.407528067339590572e-01
1.363636363636362603e+01,4.480888059480203078e-01
1.404040404040404155e+01,4.550309179594277942e-01
1.444444444444445708e+01,4.615368313112681586e-01
1.484848484848487260e+01,4.675855721492713779e-01
1.525252525252523128e+01,4.731729172177256415e-01
1.565656565656564680e+01,4.783071082934038931e-01
1.606060606060606233e+01,4.830051504918345118e-01
1.646464646464647785e+01,4.872897888307339831e-01
1.686868686868689338e+01,4.911871451796206434e-01
1.727272727272725206e+01,4.947249405103974484e-01
1.767676767676766758e+01,4.979312056682811405e-01
1.808080808080808310e+01,5.008333827707751595e-01
1.848484848484849863e+01,5.034577286888912706e-01
1.888888888888891415e+01,5.058289456065052647e-01
1.929292929292927283e+01,5.079699778487256623e-01
1.969696969696968836e+01,5.099019272295579608e-01
2.010101010101010388e+01,5.116440503514676497e-01
2.050505050505051940e+01,5.132138104383296984e-01
2.090909090909087809e+01,5.146269635328832859e-01
2.131313131313129361e+01,5.158976644990880267e-01
2.171717171717170913e+01,5.170385825280046088e-01
2.212121212121212466e+01,5.180610190265197978e-01
2.252525252525254018e+01,5.189750231089109711e-01
2.292929292929295571e+01,5.197895016096625298e-01
2.333333333333331439e+01,5.205123217487928056e-01
2.373737373737372991e+01,5.211504054328228719e-01
2.414141414141414543e+01,5.217098147595329305e-01
2.454545454545456096e+01,5.221958286851582365e-01
2.494949494949491964e+01,5.226130110630362591e-01
2.535353535353533516e+01,5.229652704123930462e-01
2.575757575757575069e+01,5.232559118554422906e-01
2.616161616161616621e+01,5.234876816911187003e-01
2.656565656565658173e+01,5.236628050708205251e-01
2.696969696969699726e+01,5.237830172164383846e-01
2.737373737373735594e+01,5.238495885820297904e-01
2.777777777777777146e+01,5.238633443133651202e-01
2.818181818181818699e+01,5.238246783081546010e-01
2.858585858585860251e+01,5.237335621274210595e-01
2.898989898989896119e+01,5.235895489566573247e-01
2.939393939393937671e+01,5.233917727666521635e-01
2.979797979797979224e+01,5.231389427786612423e-01
3.020202020202020776e+01,5.228293332992550724e-01
3.060606060606062329e+01,5.224607689578564251e-01
3.101010101010103881e+01,5.220306053567469462e-01
3.141414141414139749e+01,5.215357051320592685e-01
3.181818181818181301e+01,5.209724094279799544e-01
3.222222222222222854e+01,5.203365048101933343e-01
3.262626262626264406e+01,5.196231856938287041e-01
3.303030303030300274e+01,5.188270124443350451e-01
3.343434343434341827e+01,5.179418654361629404e-01
3.383838383838383379e+01,5.169608955379312309e-01
3.424242424242424931e+01,5.158764717492823060e-01
3.464646464646466484e+01,5.146801270662959560e-01
3.505050505050508036e+01,5.133625041239917586e-01
3.545454545454543904e+01,5.119133027892348586e-01
3.585858585858585457e+01,5.103212326944410737e-01
3.626262626262627009e+01,5.085739747566009328e-01
3.666666666666668561e+01,5.066581570727810568e-01
3.707070707070704429e+01,5.045593522773372808e-01
3.747474747474745982e+01,5.022621055494196352e-01
3.787878787878787534e+01,4.997500050217010270e-01
3.828282828282829087e+01,4.970058093940407651e-01
3.868686868686870639e+01,4.940116510856349952e-01
3.909090909090912191e+01,4.907493371686575956e-01
3.949494949494948060e+01,4.872007743812783453e-01
3.989898989898989612e+01,4.833485482632721708e-01
4.030303030303031164e+01,4.791766890979623494e-01
4.070707070707072717e+01,4.746716576108506724e-01
4.111111111111108585e+01,4.698235793388572668e-01
4.151515151515150137e+01,4.646277455195359507e-01
4.191919191919191690e+01,4.590863766724276318e-01
4.232323232323233242e+01,4.532106085306120691e-01
4.272727272727274794e+01,4.470226045211226906e-01
4.313131313131310662e+01,4.405576222889514004e-01
4.353535353535352215e+01,4.338657663302452616e-01
4.393939393939393767e+01,4.270130564461078193e-01
4.434343434343435320e+01,4.200813585327394795e-01
4.474747474747476872e+01,4.131667033482571694e-01
4.515151515151512740e+01,4.063756158380809613e-01
4.555555555555554292e+01,3.998193413390467854e-01
4.595959595959595845e+01,3.936062927363491171e-01
4.636363636363637397e+01,3.878335794687282623e-01
4.676767676767678950e+01,3.825789431155324771e-01
4.717171717171714818e+01,3.778945935441330728e-01
4.757575757575756370e+01,3.738041582809756291e-01
4.797979797979797922e+01,3.703032574178157232e-01
4.838383838383839475e+01,3.673633421137713628e-01
4.878787878787881027e+01,3.649377262512632503e-01
4.919191919191916895e+01,3.629684416823747983e-01
4.959595959595958448e+01,3.613926862311701016e-01
5.000000000000000000e+01,3.601480524420474505e-01
