gr,phi2,phi3,phi1,phir,tem
0.0743400157581999,0.02418849304433702,0.008709781527893088,0.35971726043349445,0.1873844649942754,15.252525252525253
0.07778130224613083,0.024196904871810736,0.008712509688154834,0.35970464269228397,0.18738594274775056,15.656565656565657
0.08137014028233665,0.02420959708962789,0.008716626083122559,0.35968560436555824,0.1873881724616914,16.060606060606062
0.08511230498615839,0.024226619176225556,0.008722146759856938,0.35966007123566174,0.18739116282825585,16.464646464646464
0.0890137637447802,0.024248045456538306,0.008729095823742154,0.35962793181519265,0.18739492690452705,16.86868686868687
0.09308067990591785,0.024273975573938164,0.008737505591547514,0.35958903663909275,0.18739948219542157,17.272727272727273
0.0973194161880033,0.02430453519834868,0.00874741682108606,0.359543197202477,0.18740485077808827,17.676767676767675
0.10173653774328535,0.024339876976491735,0.008758879019402725,0.3594901845352625,0.18741105946884318,18.080808080808083
0.1063388147991026,0.02438018173325199,0.008771950832406051,0.3594297274001221,0.18741814003421997,18.484848484848484
0.11113322479081376,0.024425659936263888,0.00878670051986937,0.3593615100956043,0.18742612944826262,18.88888888888889
0.11612695388630859,0.024476553439082088,0.008803206520783381,0.3592851698413769,0.1874350701987577,19.292929292929294
0.121327397786386,0.02453313752170761,0.008821558115148415,0.3592002937174386,0.1874450106457054,19.696969696969695
0.12674216166718003,0.02459572325090652,0.008841856189483197,0.3591064151236402,0.18745600543597007,20.1010101010101
0.13237905910996708,0.024664660186672044,0.008864214114596338,0.35900300971999205,0.1874681159787397,20.505050505050505
0.13824610983954091,0.0247403394654339,0.00888875874554613,0.3588894908018491,0.1874814109871708,20.909090909090907
0.1443515360644566,0.02482319729525999,0.008915631555219457,0.3587652040571101,0.18749596709241056,21.313131313131315
0.1507037571801869,0.024913718903374286,0.008944989914607878,0.3586294216449385,0.18751186953707927,21.717171717171716
0.157311382558981,0.025012442981897004,0.008977008534669298,0.3584813355271545,0.1875292129562792,22.12121212121212
0.164183202107026,0.025119966683888197,0.009011881086666442,0.3583200499741678,0.18754810225527768,22.525252525252526
0.17132817421966462,0.025236951228570996,0.00904982202007708,0.3581445731571436,0.18756865359420843,22.929292929292927
0.178755410707658,0.025364128182165352,0.009091068599621195,0.35795380772675206,0.1875909954914615,23.333333333333336
0.1864741582007274,0.025502306489091058,0.009135883185651155,0.35774654026636343,0.1876152700588944,23.737373737373737
0.1944937754573399,0.025652380337531484,0.009184555785145347,0.3575214294937029,0.18764163438362044,24.141414141414142
0.20282370592038237,0.02581533795356808,0.009237406903859918,0.35727699306964794,0.18767026207292414,24.545454545454547
0.2114734447550876,0.025992271429338396,0.00929479073383948,0.3570115928559925,0.18770134498082974,24.949494949494948
0.2204524994862158,0.0261843877031084,0.009357098714521644,0.35672341844533745,0.18773509513703257,25.353535353535353
0.2297703432136706,0.026393020822752012,0.009424763510081735,0.356410468765872,0.18777174690129428,25.757575757575758
0.23943635922671822,0.026619645639051594,0.00949826345050322,0.3560705315414227,0.1878115593690226,26.161616161616163
0.24945977565361357,0.02686589309144375,0.009578127489116892,0.3557011603628344,0.187854819056605,26.565656565656564
0.2598495885724113,0.027133567266389984,0.0096649407350454,0.355299649100415,0.1879018428981496,26.96969696969697
0.2706144717661315,0.02742466442736723,0.009759350625092075,0.35486300335894927,0.18795298158859158,27.373737373737374
0.28176267102717917,0.027741394235453742,0.009862073806093106,0.35438790864681946,0.1880086233116338,27.77777777777778
0.2933018805973268,0.028086203400448644,0.009973903805550912,0.3538706948993271,0.1880691978946734,28.18181818181818
0.305239098966183,0.02846180202398728,0.010095719575347224,0.35330729696401914,0.18813518143664643,28.585858585858585
0.31758046083753455,0.028871192917799347,0.010228495000367356,0.3526932106233009,0.1882071014585323,28.98989898989899
0.3303310416050079,0.029317704201181037,0.010373309470653309,0.3520234436982284,0.18828554262993719,29.393939393939394
0.3434946301510659,0.029805025501014833,0.010531359621950757,0.35129246174847784,0.18837115312855673,29.7979797979798
0.3570734651933738,0.030337248093607494,0.010703972354683513,0.3504941278595888,0.18846465169212023,30.2020202020202
0.37106792974752256,0.030918909338246675,0.01089261924483676,0.34962163599263013,0.18856683542428662,30.606060606060606
0.38547619755549994,0.03155504175491977,0.011098932461055061,0.3486674373676203,0.18867858841640484,31.01010101010101
0.40029382454929174,0.03225122708930352,0.011324722299233576,0.3476231593660448,0.1888008912454182,31.414141414141415
0.41551327758817125,0.03301365568208397,0.01157199643743264,0.3464795164768741,0.18893483140360937,31.818181818181817
0.43112339184474313,0.03384919141025446,0.011842980997920367,0.34522621288461836,0.18908161470720689,32.22222222222222
0.44710874734795664,0.034765442386960804,0.012140143476852154,0.3438518364195589,0.18924257771662828,32.62626262626263
0.4634489543669931,0.03577083748250341,0.012466217561892999,0.342343743776245,0.18941920117935873,33.03030303030303
0.480117836605989,0.036874708548353154,0.012824229799465889,0.3406879371774703,0.1896131244747107,33.43434343434343
0.49708250067504617,0.03808737797003618,0.013217527990282005,0.3388689330449458,0.1898261609947361,33.838383838383834
0.5143022801467401,0.03942025082096806,0.013649811077070724,0.33686962376854795,0.1900603143334133,34.24242424242424
0.5317275428946131,0.040885910408391145,0.014125160132451183,0.33467113438741336,0.1903177950717444,34.64646464646465
0.5492983516062306,0.04249821535910162,0.01464806984619512,0.33225267696134764,0.1906010378333557,35.05050505050505
0.5669429697285616,0.04427239554224056,0.015223479635321262,0.3295914066866391,0.19091271813579902,35.45454545454545
0.5845762091177187,0.04622514301573267,0.015856803140237623,0.3266622854764011,0.19125576836762875,35.858585858585855
0.6020976219561038,0.04837469274953353,0.016553954405254118,0.32343796087569976,0.19163339196951268,36.26262626262626
0.6193895488855383,0.05074088604909342,0.01732136844835462,0.3198886709263599,0.19204907457619205,36.66666666666667
0.6363150488141933,0.05334520729757608,0.01816601317759224,0.31598218905363595,0.1925065904711958,37.07070707070707
0.6527157547750753,0.05621078177118525,0.019095388682546566,0.31168382734322225,0.1930100022030461,37.474747474747474
0.6684097260867413,0.05936231878302132,0.0201175087944934,0.306956521825468,0.19356365059701727,37.878787878787875
0.6831894016822225,0.06282598022383779,0.02124085845097442,0.30176102966424334,0.1941721316609445,38.282828282828284
0.6968198047747852,0.06662914969046774,0.02247431881853008,0.29605627546429847,0.19484025602670382,38.686868686868685
0.7090372069184934,0.07080007191874563,0.023827050352025612,0.28979989212188156,0.19557298560734723,39.09090909090909
