tem,phirt
1.000000000000000000e+01,2.773803157150284138e-01
1.040404040404041552e+01,2.834516183186194804e-01
1.080808080808083105e+01,2.902157145146793127e-01
1.121212121212118973e+01,2.975404893382701532e-01
1.161616161616160525e+01,3.052626548588359690e-01
1.202020202020202078e+01,3.132061898952902546e-01
1.242424242424243630e+01,3.211998956560971896e-01
1.282828282828285182e+01,3.290908992439842140e-01
1.323232323232321050e+01,3.367528067339590758e-01
1.363636363636362603e+01,3.440888059480203265e-01
1.404040404040404155e+01,3.510309179594277573e-01
1.444444444444445708e+01,3.575368313112681218e-01
1.484848484848487260e+01,3.635855721492713966e-01
1.525252525252523128e+01,3.691729172177256602e-01
1.565656565656564680e+01,3.743071082934039118e-01
1.606060606060606233e+01,3.790051504918345304e-01
1.646464646464647785e+01,3.832897888307340017e-01
1.686868686868689338e+01,3.871871451796206620e-01
1.727272727272725206e+01,3.907249405103974116e-01
1.767676767676766758e+01,3.939312056682811036e-01
1.808080808080808310e+01,3.968333827707751227e-01
1.848484848484849863e+01,3.994577286888912337e-01
1.888888888888891415e+01,4.018289456065051723e-01
1.929292929292927283e+01,4.039699778487257364e-01
1.969696969696968836e+01,4.059019272295579239e-01
2.010101010101010388e+01,4.076440503514675573e-01
2.050505050505051940e+01,4.092138104383297725e-01
2.090909090909087809e+01,4.106269635328831935e-01
2.131313131313129361e+01,4.118976644990879343e-01
2.171717171717170913e+01,4.130385825280046275e-01
2.212121212121212466e+01,4.140610190265198720e-01
2.252525252525254018e+01,4.149750231089108787e-01
2.292929292929295571e+01,4.157895016096626040e-01
2.333333333333331439e+01,4.165123217487928797e-01
2.373737373737372991e+01,4.171504054328228905e-01
2.414141414141414543e+01,4.177098147595329491e-01
2.454545454545456096e+01,4.181958286851581996e-01
2.494949494949491964e+01,4.186130110630362222e-01
2.535353535353533516e+01,4.189652704123929539e-01
2.575757575757575069e+01,4.192559118554421982e-01
2.616161616161616621e+01,4.194876816911186634e-01
2.656565656565658173e+01,4.196628050708205993e-01
2.696969696969699726e+01,4.197830172164383478e-01
2.737373737373735594e+01,4.198495885820297535e-01
2.777777777777777146e+01,4.198633443133650833e-01
2.818181818181818699e+01,4.198246783081545641e-01
2.858585858585860251e+01,4.197335621274209672e-01
2.898989898989896119e+01,4.195895489566573988e-01
2.939393939393937671e+01,4.193917727666521267e-01
2.979797979797979224e+01,4.191389427786612054e-01
3.020202020202020776e+01,4.188293332992550355e-01
3.060606060606062329e+01,4.184607689578564993e-01
3.101010101010103881e+01,4.180306053567468538e-01
3.141414141414139749e+01,4.175357051320591761e-01
3.181818181818181301e+01,4.169724094279799176e-01
3.222222222222222854e+01,4.163365048101934085e-01
3.262626262626264406e+01,4.156231856938286673e-01
3.303030303030300274e+01,4.148270124443351192e-01
3.343434343434341827e+01,4.139418654361629035e-01
3.383838383838383379e+01,4.129608955379313051e-01
3.424242424242424931e+01,4.118764717492822691e-01
3.464646464646466484e+01,4.106801270662959746e-01
3.505050505050508036e+01,4.093625041239917772e-01
3.545454545454543904e+01,4.079133027892347663e-01
3.585858585858585457e+01,4.063212326944410924e-01
3.626262626262627009e+01,4.045739747566008959e-01
3.666666666666668561e+01,4.026581570727810755e-01
3.707070707070704429e+01,4.005593522773372439e-01
3.747474747474745982e+01,3.982621055494196538e-01
3.787878787878787534e+01,3.957500050217009901e-01
3.828282828282829087e+01,3.930058093940407837e-01
3.868686868686870639e+01,3.900116510856349583e-01
3.909090909090912191e+01,3.867493371686576142e-01
3.949494949494948060e+01,3.832007743812783640e-01
3.989898989898989612e+01,3.793485482632721895e-01
4.030303030303031164e+01,3.751766890979623126e-01
4.070707070707072717e+01,3.706716576108506356e-01
4.111111111111108585e+01,3.658235793388572299e-01
4.151515151515150137e+01,3.606277455195359138e-01
4.191919191919191690e+01,3.550863766724275949e-01
4.232323232323233242e+01,3.492106085306120877e-01
4.272727272727274794e+01,3.430226045211226538e-01
4.313131313131310662e+01,3.365576222889514191e-01
4.353535353535352215e+01,3.298657663302452803e-01
4.393939393939393767e+01,3.230130564461077824e-01
4.434343434343435320e+01,3.160813585327394426e-01
4.474747474747476872e+01,3.091667033482571880e-01
4.515151515151512740e+01,3.023756158380809245e-01
4.555555555555554292e+01,2.958193413390467486e-01
4.595959595959595845e+01,2.896062927363490802e-01
4.636363636363637397e+01,2.838335794687282254e-01
4.676767676767678950e+01,2.785789431155324403e-01
4.717171717171714818e+01,2.738945935441330914e-01
4.757575757575756370e+01,2.698041582809755923e-01
4.797979797979797922e+01,2.663032574178156864e-01
4.838383838383839475e+01,2.633633421137713815e-01
4.878787878787881027e+01,2.609377262512632689e-01
4.919191919191916895e+01,2.589684416823747615e-01
4.959595959595958448e+01,2.573926862311700647e-01
5.000000000000000000e+01,2.561480524420474136e-01
