tem,phi2t
1.000000000000000000e+01,2.092055895704630908e-01
1.040404040404041552e+01,2.013128961857946764e-01
1.080808080808083105e+01,1.925195711309169999e-01
1.121212121212118973e+01,1.829973638602488129e-01
1.161616161616160525e+01,1.729585486835132080e-01
1.202020202020202078e+01,1.626319531361226089e-01
1.242424242424243630e+01,1.522401356470736988e-01
1.282828282828285182e+01,1.419818309828206060e-01
1.323232323232321050e+01,1.320213512458532634e-01
1.363636363636362603e+01,1.224845522675736403e-01
1.404040404040404155e+01,1.134598066527439941e-01
1.444444444444445708e+01,1.050021192953514426e-01
1.484848484848487260e+01,9.713875620594725202e-02
1.525252525252523128e+01,8.987520761695659555e-02
1.565656565656564680e+01,8.320075921857487955e-02
1.606060606060606233e+01,7.709330436061520575e-02
1.646464646464647785e+01,7.152327452004583752e-02
1.686868686868689338e+01,6.645671126649316252e-02
1.727272727272725206e+01,6.185757733648326179e-02
1.767676767676766758e+01,5.768943263123461201e-02
1.808080808080808310e+01,5.391660239799229981e-02
1.848484848484849863e+01,5.050495270444153861e-02
1.888888888888891415e+01,4.742237071154333655e-02
1.929292929292927283e+01,4.463902879665662682e-02
1.969696969696968836e+01,4.212749460157474979e-02
2.010101010101010388e+01,3.986273454309222780e-02
2.050505050505051940e+01,3.782204643017132717e-02
2.090909090909087809e+01,3.598494740725188823e-02
2.131313131313129361e+01,3.433303615118567936e-02
2.171717171717170913e+01,3.284984271359395192e-02
2.212121212121212466e+01,3.152067526552426724e-02
2.252525252525254018e+01,3.033246995841593768e-02
2.292929292929295571e+01,2.927364790743861370e-02
2.333333333333331439e+01,2.833398172656925382e-02
2.373737373737372991e+01,2.750447293733034732e-02
2.414141414141414543e+01,2.677724081260715941e-02
2.454545454545456096e+01,2.614542270929433657e-02
2.494949494949491964e+01,2.560308561805289124e-02
2.535353535353533516e+01,2.514514846388923516e-02
2.575757575757575069e+01,2.476731458792514814e-02
2.616161616161616621e+01,2.446601380154580715e-02
2.656565656565658173e+01,2.423835340793327117e-02
2.696969696969699726e+01,2.408207761863018215e-02
2.737373737373735594e+01,2.399553484336146986e-02
2.777777777777777146e+01,2.397765239262556261e-02
2.818181818181818699e+01,2.402791819939908979e-02
2.858585858585860251e+01,2.414636923435267354e-02
2.898989898989896119e+01,2.433358635634548864e-02
2.939393939393937671e+01,2.459069540335228482e-02
2.979797979797979224e+01,2.491937438774056990e-02
3.020202020202020776e+01,2.532186671096844574e-02
3.060606060606062329e+01,2.580100035478653450e-02
3.101010101010103881e+01,2.636021303622911385e-02
3.141414141414139749e+01,2.700358332832314065e-02
3.181818181818181301e+01,2.773586774362624824e-02
3.222222222222222854e+01,2.856254374674859278e-02
3.262626262626264406e+01,2.948985859802280562e-02
3.303030303030300274e+01,3.052488382236447431e-02
3.343434343434341827e+01,3.167557493298835125e-02
3.383838383838383379e+01,3.295083580068951939e-02
3.424242424242424931e+01,3.436058672593318708e-02
3.464646464646466484e+01,3.591583481381521031e-02
3.505050505050508036e+01,3.762874463881066972e-02
3.545454545454543904e+01,3.951270637399476732e-02
3.585858585858585457e+01,4.158239749722660028e-02
3.626262626262627009e+01,4.385383281641891395e-02
3.666666666666668561e+01,4.634439580538464443e-02
3.707070707070704429e+01,4.907284203946148810e-02
3.747474747474745982e+01,5.205926278575444266e-02
3.787878787878787534e+01,5.532499347178880533e-02
3.828282828282829087e+01,5.889244778774706257e-02
3.868686868686870639e+01,6.278485358867462451e-02
3.909090909090912191e+01,6.702586168074523010e-02
3.949494949494948060e+01,7.163899330433823320e-02
3.989898989898989612e+01,7.664688725774615463e-02
4.030303030303031164e+01,8.207030417264910005e-02
4.070707070707072717e+01,8.792684510589424129e-02
4.111111111111108585e+01,9.422934685948572420e-02
4.151515151515150137e+01,1.009839308246033573e-01
4.191919191919191690e+01,1.081877103258441358e-01
4.232323232323233242e+01,1.158262089102043285e-01
4.272727272727274794e+01,1.238706141225405927e-01
4.313131313131310662e+01,1.322750910243631617e-01
4.353535353535352215e+01,1.409745037706811865e-01
4.393939393939393767e+01,1.498830266200600059e-01
4.434343434343435320e+01,1.588942339074387311e-01
4.474747474747476872e+01,1.678832856472657342e-01
4.515151515151512740e+01,1.767116994104948324e-01
4.555555555555554292e+01,1.852348562592393000e-01
4.595959595959595845e+01,1.933118194427462799e-01
4.636363636363637397e+01,2.008163466906533468e-01
4.676767676767678950e+01,2.076473739498078397e-01
4.717171717171714818e+01,2.137370283926270098e-01
4.757575757575756370e+01,2.190545942347317532e-01
4.797979797979797922e+01,2.236057653568396808e-01
4.838383838383839475e+01,2.274276552520971273e-01
4.878787878787881027e+01,2.305809558733577513e-01
4.919191919191916895e+01,2.331410258129129054e-01
4.959595959595958448e+01,2.351895078994788724e-01
5.000000000000000000e+01,2.368075318253384243e-01
