tem,phi2t
1.000000000000000000e+01,4.106767609000226416e-01
1.040404040404041552e+01,3.918336750543066072e-01
1.080808080808083105e+01,3.709791300612653164e-01
1.121212121212118973e+01,3.484267079570925740e-01
1.161616161616160525e+01,3.246096392610801074e-01
1.202020202020202078e+01,3.000479788678825921e-01
1.242424242424243630e+01,2.753022753309927739e-01
1.282828282828285182e+01,2.509223092925060850e-01
1.323232323232321050e+01,2.274005239074831930e-01
1.363636363636362603e+01,2.051378533698801354e-01
1.404040404040404155e+01,1.844257657382546434e-01
1.444444444444445708e+01,1.654441401199554240e-01
1.484848484848487260e+01,1.482715194039556372e-01
1.525252525252523128e+01,1.329029298034083151e-01
1.565656565656564680e+01,1.192706452442463677e-01
1.606060606060606233e+01,1.072643780713556649e-01
1.646464646464647785e+01,9.674875426418873270e-02
1.686868686868689338e+01,8.757714456007770210e-02
1.727272727272725206e+01,7.960178246663403290e-02
1.767676767676766758e+01,7.268059557880961197e-02
1.808080808080808310e+01,6.668138680386583028e-02
1.848484848484849863e+01,6.148402740951072754e-02
1.888888888888891415e+01,5.698125016906729901e-02
1.929292929292927283e+01,5.307851818041996184e-02
1.969696969696968836e+01,4.969332868089068600e-02
2.010101010101010388e+01,4.675420888774713124e-02
2.050505050505051940e+01,4.419957876177739442e-02
2.090909090909087809e+01,4.197659365082131999e-02
2.131313131313129361e+01,4.004003525837578764e-02
2.171717171717170913e+01,3.835128869428861692e-02
2.212121212121212466e+01,3.687742303584296000e-02
2.252525252525254018e+01,3.559037993909178188e-02
2.292929292929295571e+01,3.446626710961629703e-02
2.333333333333331439e+01,3.348474917523393268e-02
2.373737373737372991e+01,3.262852648616929030e-02
2.414141414141414543e+01,3.188289175962907840e-02
2.454545454545456096e+01,3.123535471592502749e-02
2.494949494949491964e+01,3.067532554710267895e-02
2.535353535353533516e+01,3.019384897743740415e-02
2.575757575757575069e+01,2.978338166886800031e-02
2.616161616161616621e+01,2.943760670701472959e-02
2.656565656565658173e+01,2.915127982647503987e-02
2.696969696969699726e+01,2.892010287540694100e-02
2.737373737373735594e+01,2.874062077157200218e-02
2.777777777777777146e+01,2.861013886722876820e-02
2.818181818181818699e+01,2.852665822576121168e-02
2.858585858585860251e+01,2.848882682800921509e-02
2.898989898989896119e+01,2.849590518221988000e-02
2.939393939393937671e+01,2.854774521838878212e-02
2.979797979797979224e+01,2.864478171671058088e-02
3.020202020202020776e+01,2.878803585990964697e-02
3.060606060606062329e+01,2.897913081976914718e-02
3.101010101010103881e+01,2.922031959732255407e-02
3.141414141414139749e+01,2.951452564106678278e-02
3.181818181818181301e+01,2.986539707491099940e-02
3.222222222222222854e+01,3.027737568219297792e-02
3.262626262626264406e+01,3.075578211834235215e-02
3.303030303030300274e+01,3.130691916384295559e-02
3.343434343434341827e+01,3.193819518067576163e-02
3.383838383838383379e+01,3.265827029327461606e-02
3.424242424242424931e+01,3.347722816903438148e-02
3.464646464646466484e+01,3.440677660225259504e-02
3.505050505050508036e+01,3.546048037770981043e-02
3.545454545454543904e+01,3.665403005478184290e-02
3.585858585858585457e+01,3.800555029480241070e-02
3.626262626262627009e+01,3.953595104546246686e-02
3.666666666666668561e+01,4.126932413867855781e-02
3.707070707070704429e+01,4.323338643916380813e-02
3.747474747474745982e+01,4.545996830210203427e-02
3.787878787878787534e+01,4.798554236916790366e-02
3.828282828282829087e+01,5.085178214364775851e-02
3.868686868686870639e+01,5.410613170247285941e-02
3.909090909090912191e+01,5.780235657422837237e-02
3.949494949494948060e+01,6.200103040959721590e-02
3.989898989898989612e+01,6.676989179870207458e-02
4.030303030303031164e+01,7.218397990644884188e-02
4.070707070707072717e+01,7.832542656975387263e-02
4.111111111111108585e+01,8.528274741800019598e-02
4.151515151515150137e+01,9.314943877633244385e-02
4.191919191919191690e+01,1.020216570738207984e-01
4.232323232323233242e+01,1.119947439874656864e-01
4.272727272727274794e+01,1.231583794988521108e-01
4.313131313131310662e+01,1.355902170573183296e-01
4.353535353535352215e+01,1.493480027815112798e-01
4.393939393939393767e+01,1.644604221669364597e-01
4.434343434343435320e+01,1.809172553433307518e-01
4.474747474747476872e+01,1.986598270111735176e-01
4.515151515151512740e+01,2.175731365975385745e-01
4.555555555555554292e+01,2.374813266806331813e-01
4.595959595959595845e+01,2.581481429685220652e-01
4.636363636363637397e+01,2.792836262653747847e-01
4.676767676767678950e+01,3.005574155382316204e-01
4.717171717171714818e+01,3.216178448428860248e-01
4.757575757575756370e+01,3.421147646345681359e-01
4.797979797979797922e+01,3.617230830703909161e-01
4.838383838383839475e+01,3.801637299035796613e-01
4.878787878787881027e+01,3.972192224185661091e-01
4.919191919191916895e+01,4.127421222353974684e-01
4.959595959595958448e+01,4.266560671384608261e-01
5.000000000000000000e+01,4.389503378637743536e-01
