med_tem,peptifrac
LB16,0.011774389793797434
LB25,0.009301865472844692
LB30,0.011092061168894076
LB37,0.012911649987236644
LB43,0.013100469281442388
Glucose25,0.01254269031271604
Glucose30,0.01131298593445362
Glucose37,0.01639353212588934
Glycerol25,0.01089633400804368
Glycerol30,0.010395752423131809
Glycerol37,0.013062273507330274
