gr,phi2
0.0,0.03311278214803282
0.025202670904010096,0.03415567147944914
0.050180329317730366,0.03516086066696594
0.07494520688254057,0.036131756781582355
0.09950813291352073,0.03707128551090724
0.1238787693842452,0.037981981218419565
0.14806579578287185,0.03886605644039734
0.17207705655433242,0.039725456282182735
0.1959196801604698,0.0405619015396831
0.21960017629346626,0.04137692327672493
0.24312451605062083,0.04217189084018841
0.2664981986612152,0.04294803477346541
0.28972630748385475,0.04370646571952422
0.31281355735795585,0.04444819013930238
0.3357643349248081,0.045174123477469665
0.35858273318376155,0.04588510126451906
0.3812725812846059,0.046581888537180136
0.40383747035507456,0.047265187878305887
0.42628077600639597,0.047935646315661364
0.44860567803825707,0.04859386127146974
0.4708151777690196,0.04924038571758258
0.4929121133413472,0.049875732662143145
0.5148991732929844,0.05050037907070349
0.5367789086338569,0.05111476930652756
0.5585537436313487,0.0517193181602088
0.5802259854735948,0.05231441352695622
0.6017978329543926,0.052900418780351885
0.623271384301725,0.05347767488359115
0.6446486442539866,0.05404650227282607
0.665931530473101,0.0546072025419641
0.6871218793712558,0.0551600599539088
0.7082214514175067,0.05570534279959738
0.7292319359816742,0.05624330462315289
0.7501549557654519,0.05677418532891942
0.7709920708643002,0.0572982121840011
0.7917447824982422,0.057815600728107236
0.8124145364450298,0.058326555600962844
0.8330027262051423,0.05883127129622881
0.8535106959246169,0.05932993284975115
0.873939743098737,0.05982271646899481
0.8942911210769907,0.06030979010968738
0.9145660413874656,0.06079131400498211
0.9347656758968762,0.06126744115183048
0.9548911588206876,0.061738317758716105
0.9749435885962902,0.06220408365843467
0.9949240296308511,0.06266487268919635
1.0148335139342943,0.06312081304697018
1.0346730426468154,0.0635720276116775
1.0544435874694407,0.06401863424956683
1.074146092005291,0.06446074609386027
1.0937814730185291,0.064898471805549
1.1133506216172828,0.06533191581602626
1.1328544043662867,0.06576117855307875
1.1522936643344586,0.06618635665161035
1.1716692220821674,0.06660754315033858
1.1909818765925306,0.06702482767558832
1.210232406150716,0.06743829661320092
1.229421569174872,0.0678480332694847
1.2485501050020251,0.06825411802204762
1.2676187346319918,0.06865662846127822
1.2866281614321184,0.06905563952317374
1.3055790718054314,0.06945122361415246
1.3244721358245755,0.06984345072843363
1.343308007833739,0.07023238855851835
1.362087327020585,0.0706181025992599
1.3808107179600773,0.07100065624597253
1.3994787911319098,0.0713801108869901
1.4180921434131672,0.0717565259910532
1.4366513585476963,0.0721299591898737
1.4551570075935623,0.07250046635619721
1.4736096493498894,0.07286810167766021
1.4920098307642629,0.07323291772671474
1.5103580873218108,0.0735949655268736
1.5286549434170031,0.0739542946155097
1.546900912709124,0.07431095310342599
1.5650964984623226,0.07466498773139617
1.583242193871083,0.0750164439238626
1.601338482371899,0.07536536583996373
1.6193858379418844,0.07571179642205138
1.6373847253850102,0.07605577744184734
1.6553356006066133,0.07639734954437762
1.673238910876784,0.07673655228981396
1.691095095083187,0.07707342419334282
1.708904583973862,0.07740800276317429
1.7266678003904978,0.07774032453679583
1.7443851594926485,0.0780704251155686
1.7620570689733397,0.0783983391977584
1.779683929266469,0.07872410061008613
1.7972661337464113,0.07904774233787867
1.8148040689201779,0.07936929655389495
1.8322981146125004,0.07968879464589745
1.8497486441441422,0.0800062672430354
1.8671560245037762,0.08032174424110153
1.8845206165136938,0.0806352548267204
1.9018427749896518,0.08094682750052323
1.9191228488950938,0.08125649009936034
1.9363611814900064,0.08156426981759964
1.9535581104746544,0.08187019322755687
1.9707139681283914,0.08217428629909986
1.9878290814437896,0.08247657441846792
