tem,gr
1.000000000000000000e+01,2.820254781166488950e-02
1.040404040404041552e+01,3.511297367352225751e-02
1.080808080808083105e+01,4.292304407736947935e-02
1.121212121212118973e+01,5.158313314824809065e-02
1.161616161616160525e+01,6.103053898807245942e-02
1.202020202020202078e+01,7.119810338251686410e-02
1.242424242424243630e+01,8.202115448073105108e-02
1.282828282828285182e+01,9.344230434996747547e-02
1.323232323232321050e+01,1.054142060169518530e-01
1.363636363636362603e+01,1.179006734267485368e-01
1.404040404040404155e+01,1.308766491809930377e-01
1.444444444444445708e+01,1.443274592788300337e-01
1.484848484848487260e+01,1.582476963847199991e-01
1.525252525252523128e+01,1.726399695316991334e-01
1.565656565656564680e+01,1.875136703470923483e-01
1.606060606060606233e+01,2.028838401857098184e-01
1.646464646464647785e+01,2.187701775900788848e-01
1.686868686868689338e+01,2.351961970194748064e-01
1.727272727272725206e+01,2.521885332035593286e-01
1.767676767676766758e+01,2.697763768772514226e-01
1.808080808080808310e+01,2.879910240965086188e-01
1.848484848484849863e+01,3.068655207611444835e-01
1.888888888888891415e+01,3.264343850163160532e-01
1.929292929292927283e+01,3.467333920105514222e-01
1.969696969696968836e+01,3.677994075425440879e-01
2.010101010101010388e+01,3.896702591398757409e-01
2.050505050505051940e+01,4.123846349348603835e-01
2.090909090909087809e+01,4.359820022705880316e-01
2.131313131313129361e+01,4.572484752813347209e-01
2.171717171717170913e+01,4.781928377640026206e-01
2.212121212121212466e+01,4.997425376535701291e-01
2.252525252525254018e+01,5.219220005389495487e-01
2.292929292929295571e+01,5.447552361310838975e-01
2.333333333333331439e+01,5.682657839121955101e-01
2.373737373737372991e+01,5.924766492871503809e-01
2.414141414141414543e+01,6.174102274984331062e-01
2.454545454545456096e+01,6.430882126336374682e-01
2.494949494949491964e+01,6.695314890169056232e-01
2.535353535353533516e+01,6.967600021424770196e-01
2.575757575757575069e+01,7.247926060899898548e-01
2.616161616161616621e+01,7.536468840589147788e-01
2.656565656565658173e+01,7.833389382765242326e-01
2.696969696969699726e+01,8.138831450682145752e-01
2.737373737373735594e+01,8.452918703287393143e-01
2.777777777777777146e+01,8.775751399933463537e-01
2.818181818181818699e+01,9.107402593728518569e-01
2.858585858585860251e+01,9.447913743828515454e-01
2.898989898989896119e+01,9.797289667550238557e-01
2.939393939393937671e+01,1.015549274268039648e+00
2.979797979797979224e+01,1.052243625868764187e+00
3.020202020202020776e+01,1.089797680276979541e+00
3.060606060606062329e+01,1.128190555282759355e+00
3.101010101010103881e+01,1.167393833470593778e+00
3.141414141414139749e+01,1.207370428567728915e+00
3.181818181818181301e+01,1.248073295059386023e+00
3.222222222222222854e+01,1.289443962214901207e+00
3.262626262626264406e+01,1.331410872328442574e+00
3.303030303030300274e+01,1.373887501952699264e+00
3.343434343434341827e+01,1.416770244406122092e+00
3.383838383838383379e+01,1.459936032173551723e+00
3.424242424242424931e+01,1.503239679403181039e+00
3.464646464646466484e+01,1.546510928105525595e+00
3.505050505050508036e+01,1.589551187628841733e+00
3.545454545454543904e+01,1.632129966529642928e+00
3.585858585858585457e+01,1.673981010390477975e+00
3.626262626262627009e+01,1.714798180134039063e+00
3.666666666666668561e+01,1.754231135109072026e+00
3.707070707070704429e+01,1.791880926300188248e+00
3.747474747474745982e+01,1.827295660671789168e+00
3.787878787878787534e+01,1.859966471584726166e+00
3.828282828282829087e+01,1.889324126495915523e+00
3.868686868686870639e+01,1.914736725802932416e+00
3.909090909090912191e+01,1.935509098953424267e+00
3.949494949494948060e+01,1.950884686917085276e+00
3.989898989898989612e+01,1.960050910599475005e+00
4.030303030303031164e+01,1.962149251683494633e+00
4.070707070707072717e+01,1.956291491917117042e+00
4.111111111111108585e+01,1.941583725395374493e+00
4.151515151515150137e+01,1.917159804313975924e+00
4.191919191919191690e+01,1.882225693843858627e+00
4.232323232323233242e+01,1.836115646832548798e+00
4.272727272727274794e+01,1.778359979886282360e+00
4.313131313131310662e+01,1.708762350643629802e+00
4.353535353535352215e+01,1.627481680148746390e+00
4.393939393939393767e+01,1.535110307530934914e+00
4.434343434343435320e+01,1.432736056621777943e+00
4.474747474747476872e+01,1.321972646359530046e+00
4.515151515151512740e+01,1.204941911831640677e+00
4.555555555555554292e+01,1.084194556950250243e+00
4.595959595959595845e+01,9.625650434566866975e-01
4.636363636363637397e+01,8.429703356263672509e-01
4.676767676767678950e+01,7.281782978717128429e-01
4.717171717171714818e+01,6.205837419163869884e-01
4.757575757575756370e+01,5.220324131393681011e-01
4.797979797979797922e+01,4.337229974938988653e-01
4.838383838383839475e+01,3.561976732467959095e-01
4.878787878787881027e+01,2.894104911270735658e-01
4.919191919191916895e+01,2.328478451959094531e-01
4.959595959595958448e+01,1.856704802397459997e-01
5.000000000000000000e+01,1.468507835410142459e-01
