tem,phi2,phir
1.350000000000000000e+01,5.892601226612829979e-02,3.522759062628208482e-01
1.500000000000000000e+01,5.657700928720257871e-02,3.270688993518762744e-01
2.300000000000000000e+01,5.122650250187177345e-02,3.906632512453434569e-01
3.000000000000000000e+01,5.422800630827685764e-02,4.166327500268862116e-01
3.700000000000000000e+01,6.049201425207878513e-02,4.078943431169604894e-01
4.200000000000000000e+01,7.745703576654230926e-02,4.022983888102691918e-01
4.600000000000000000e+01,2.228342201289452151e-01,2.822206369115239366e-01
