tem,phir_1,phir_2,phi2_1,phi2_2
1.600000000000000000e+01,4.534249955944718580e-01,4.598986671058451492e-01,7.050659180299941042e-02,6.521768791795619358e-02
2.500000000000000000e+01,4.571291521301912297e-01,4.664647625394575114e-01,5.358834676281654108e-02,5.611013245173920860e-02
3.000000000000000000e+01,4.852031831530418393e-01,4.896678027253333343e-01,6.008236850820072167e-02,6.036475696116244682e-02
3.700000000000000000e+01,5.038889535074910775e-01,5.131518022852752381e-01,6.619542794973704014e-02,6.688977560174216852e-02
4.300000000000000000e+01,3.826101302115813008e-01,4.438891843089033951e-01,1.563810494873389967e-01,1.356106273737976986e-01
